dataset_name,model_name,run_num,performance,time_used,higher_is_better
abalone,aide_+ext,1,2.18901,385,False
airbnb_melbourne,aide_+ext,1,0.41517,2689,True
airlines,aide_+ext,1,,,True
bioresponse,aide_+ext,1,0.87594,7400,True
camo_sem_seg,aide_+ext,1,,,True
cd18,aide_+ext,1,0.2391,248,True
climate_fever,aide_+ext,1,,,True
covertype,aide_+ext,1,0.7435,7856,True
electricity_hourly,aide_+ext,1,,,False
europeanflooddepth,aide_+ext,1,0.69677,730,True
fiqabeir,aide_+ext,1,,,True
gnad10,aide_+ext,1,,,True
ham10000,aide_+ext,1,0.78466,813,True
hateful_meme,aide_+ext,1,0.51789,2045,True
isic2017,aide_+ext,1,,,True
kick_starter_funding,aide_+ext,1,0.43969,7496,True
memotion,aide_+ext,1,,,True
mldoc,aide_+ext,1,,,True
nn5_daily_without_missing,aide_+ext,1,,,False
petfinder,aide_+ext,1,0.38155,2359,True
road_segmentation,aide_+ext,1,,,True
rvl_cdip,aide_+ext,1,,,True
solar_10_minutes,aide_+ext,1,,,False
women_clothing_review,aide_+ext,1,0.74658,1134,True
yolanda,aide_+ext,1,8.54032,1953,False
abalone,auto2ml_noepi,1,2.1348,115,False
airbnb_melbourne,auto2ml_noepi,1,0.42251,3217,True
airlines,auto2ml_noepi,1,0.65585,1232,True
bioresponse,auto2ml_noepi,1,0.79685,178,True
camo_sem_seg,auto2ml_noepi,1,0.84072,2239,True
cd18,auto2ml_noepi,1,0.44537,166,True
climate_fever,auto2ml_noepi,1,,,True
covertype,auto2ml_noepi,1,0.97606,2652,True
electricity_hourly,auto2ml_noepi,1,1.40586,848,False
europeanflooddepth,auto2ml_noepi,1,0.68046,504,True
fiqabeir,auto2ml_noepi,1,0.3756,462,True
gnad10,auto2ml_noepi,1,0.83709,709,True
ham10000,auto2ml_noepi,1,,,True
hateful_meme,auto2ml_noepi,1,0.57067,648,True
isic2017,auto2ml_noepi,1,,,True
kick_starter_funding,auto2ml_noepi,1,0.43752,2437,True
memotion,auto2ml_noepi,1,,,True
mldoc,auto2ml_noepi,1,0.94796,1117,True
nn5_daily_without_missing,auto2ml_noepi,1,0.76484,219,False
petfinder,auto2ml_noepi,1,0.38723,714,True
road_segmentation,auto2ml_noepi,1,,,True
rvl_cdip,auto2ml_noepi,1,0.87144,2461,True
solar_10_minutes,auto2ml_noepi,1,1.28565,871,False
women_clothing_review,auto2ml_noepi,1,0.74797,1073,True
yolanda,auto2ml_noepi,1,8.53315,1908,False
abalone,aide_def,2,2.09522,234,False
airbnb_melbourne,aide_def,2,0.39429,174,True
airlines,aide_def,2,,,True
bioresponse,aide_def,2,0.87677,933,True
camo_sem_seg,aide_def,2,,,True
cd18,aide_def,2,,,True
climate_fever,aide_def,2,,,True
covertype,aide_def,2,,,True
electricity_hourly,aide_def,2,,,False
europeanflooddepth,aide_def,2,,,True
fiqabeir,aide_def,2,,,True
gnad10,aide_def,2,0.9078,10812,True
